"","stock[, 1]","Sec_10R","Sec_15R","Sec_20R","Sec_25R","Sec_30R","Sec_35R","Sec_40R","Sec_45R","Sec_50R","Sec_55R","Sec_60R"
"102",20140529,-0.000207142,0.012051296,0.00456239,0.008503234,0.005399121,0.005288765,-5.30475e-05,0.005228689,0.003995113,3.03702e-05,-0.007159713
"103",20140530,-0.017887822,-0.025978972,0.000164267,0.004033423,0.004822509,0.000293761,0.000210512,0.000125601,0.000104644,0.007877456,0.006252066
"104",20140602,0.010498766,0.008740727,0.002959895,0.002735629,-0.002457022,-0.000235077,0.002421262,-0.000547455,0.001676785,-0.000808159,-0.000714062
"105",20140603,-0.001166127,-0.006442976,-0.001911337,-8.43029e-05,-0.000620486,0.000892361,0.000308001,0.005449182,-0.002283268,0.002699806,-0.004385062
"106",20140604,-0.008958471,-0.002388947,-0.001838101,0.001631329,-0.000147963,0.002140639,-0.002338389,0.000380424,-0.00411022,0.002530584,0.002091808
"107",20140605,0.004713779,0.005671468,0.008838788,0.005650415,0.002556882,0.001215768,0.006704474,0.007019494,0.004979483,0.006462578,0.016184193
"108",20140606,0.001048272,0.00772572,0.008982871,0.004979899,0.00068584,0.002105252,0.006129439,0.002980077,-0.003762428,-0.004320055,-0.004471945
"109",20140609,0.008585076,0.001603498,0.004985507,-0.003185142,-0.000900509,-0.003741033,0.007290501,0.002561697,0.003605984,-0.008771549,-0.012878101
"110",20140610,0.012898126,-0.004432158,-0.002060435,-0.00306136,0.005207521,0.005590205,-0.000266085,0.001994701,0.003454666,-0.003390336,-0.006219327
"111",20140611,-0.005366044,-0.001292739,-0.00822084,-0.00045723,-0.004877,-0.000515343,-0.008280576,-0.004294945,-0.008487253,-0.015865084,0.004826656
"112",20140612,0.00646791,-0.018626184,-0.011263648,-0.010404551,-0.005292937,-0.00179582,-0.001581309,-0.007172516,-0.004019936,0.004697943,-0.002321078
"113",20140613,0.015509754,0.003510893,0.003562767,0.000322404,-0.002801854,0.001453151,-0.000317039,0.004523176,0.00280681,0.007618417,0.00204199
"114",20140616,0.000346003,0.002440975,-0.001429071,0.005195535,0.003318164,-0.001015847,-0.00260058,0.003807008,-0.001692226,0.004426023,-0.003897733
"115",20140617,-0.000248296,-0.005739623,0.000921698,0.003626721,5.4818e-05,-0.000873714,0.003894614,0.002151716,0.00094409,-0.000643158,0.001521386
"116",20140618,0.012169714,0.017852945,0.005925714,0.009745819,0.010439796,0.006623314,0.003991614,0.004129619,0.006491177,0.021570309,0.007098618
"117",20140619,-0.001330365,0.007552316,0.000765953,0.003816572,0.0079889,0.004626253,-0.004681259,0.001421546,-0.002274887,0.008900796,0.007288023
"118",20140620,-0.002008628,-0.002113092,0.003512116,-0.000151328,-0.001400374,0.006021179,-0.001771893,-0.009193174,-0.000390127,-0.008867589,0.002168593
"119",20140623,-0.012734799,0.015334302,-0.006857667,0.0002539,-0.002844477,-0.007161503,-0.000403667,-0.002096197,-0.006454302,-0.003737762,-0.00252724
"120",20140624,-0.016561044,-0.015532174,-0.008959564,-0.004367904,-0.00286888,-0.002570493,-0.007321546,-0.004768645,-0.001528943,0.002789807,0.001220614
"121",20140625,0.003102973,0.000130176,0.000885702,0.00747684,0.000198066,0.006136293,-0.001124298,0.004235502,0.008423848,0.004962236,-0.001038029
"122",20140626,0.016537405,0.007537772,-0.000930411,0.000636496,-0.00847364,-0.000930652,-0.003352159,-0.0014574,0.004891681,0.003827471,-0.003053666
"123",20140627,0.003289301,0.000673565,0.00290639,0.002797181,0.001425571,-0.000166844,0.001309084,0.007799084,0.004416307,0.003163419,0.006159572
"124",20140630,-0.004250755,-0.000149597,-0.003752431,0.001321832,-0.00052391,-0.0014149,-0.000549424,0.002688077,-0.002149936,0.0075899,-0.002179617
"125",20140701,0.005403164,0.010626021,0.005321129,0.01579041,0.00147705,0.011232662,0.00813161,0.013358265,0.005781824,-0.009460894,0.004283631
"126",20140702,0.005372397,0.009195369,-0.000856106,-0.001930209,0.002538241,0.005530133,0.00712343,0.004808226,0.00434691,-0.020756702,-0.002734444
"127",20140703,0.002560898,0.014521675,0.007125246,0.000492921,0.004752245,0.003325134,0.007436486,0.007180619,0.002233702,-0.012525603,-0.003496486
"128",20140707,-0.020768731,-0.006775191,-0.005537158,-0.005044238,4.75891e-05,-0.007917676,-0.007197484,0.00210523,-0.002058938,0.004350213,0.002759778
"129",20140708,-0.006074687,-0.003208172,-0.007665312,-0.010148679,0.00048295,-0.008442874,-0.013375809,-0.006248619,-0.010585001,0.005603334,0.001047957
"130",20140709,-0.00655146,0.002169154,0.001550535,0.006598977,0.004267473,0.003926323,0.004869419,1.25219e-05,0.007132361,-0.0013391,0.002347693
"131",20140710,-0.000944138,-0.010262019,-0.005232515,-0.011983288,-0.003467183,0.000548098,-0.01048608,0.002726776,0.001509565,0.005616597,0.003929896
"132",20140711,-0.001253457,0.006736378,0.006669538,0.007455766,-0.002606027,-0.00256796,-0.000872986,0.000106079,0.008402213,-0.005970886,0.001027794
"133",20140714,0.007668368,0.009235625,0.005340668,0.006149411,0.004069155,0.003048111,0.01036476,0.005076375,0.019281303,-0.012491508,0.004295194
"134",20140715,-0.000558842,0.004067123,0.000306561,-0.001182554,-0.004582719,-0.006853791,0.007215788,-0.003001347,0.012525796,0.00659343,0.000974151
"135",20140716,0.0140818,0.013877579,0.005085353,-0.00027966,0.000295969,-0.000478579,0.003647574,-0.002538896,0.005348626,0.004652463,0.003363157
"136",20140717,-0.013207756,-0.014556184,-0.013449948,-0.008270717,-0.006094138,-0.011650863,-0.01397534,-0.015432227,-0.010096315,-0.009615994,-0.004712841
"137",20140718,0.006484843,0.005035087,0.006966871,0.007711801,0.007822037,0.013413556,0.006175545,0.008532142,0.009390341,0.0102961,0.008812817
"138",20140721,0.003569795,0.000371627,-0.002725039,-0.00294871,-0.003164401,-0.004940896,-0.001990813,-0.001105899,0.001656819,0.000934082,-0.002851408
"139",20140722,0.018480263,0.01643289,0.005513875,0.005149345,-0.004039673,0.007360757,0.010389564,0.009897512,0.011529661,-0.003080667,0.004646559
"140",20140723,0.008469011,0.003016292,-0.005912571,0.000188755,0.000545081,-0.009840402,0.005613923,0.002700572,0.00606979,0.000935885,0.001552897
"141",20140724,0.003088818,0.001438941,-0.002065995,0.000256606,0.00045707,-0.001918375,0.009983106,-0.003656842,0.007591529,0.003142815,0.003665292
"142",20140725,0.002109414,0.000704399,-0.005094083,-0.014074753,-0.007914504,-0.007923941,0.000522636,-0.007543777,-0.004006502,-0.006493793,-0.008275367
"143",20140728,-0.00245696,0.000768738,-0.003432361,0.001968439,-0.004975845,-0.001271806,0.007606561,0.001486817,0.006580019,0.014353079,0.011513617
"144",20140729,-0.019301058,0.000834246,-0.009597525,0.000784588,-0.004110604,-0.001610962,0.000129808,-0.001756407,0.000347673,-0.010798226,-0.004846692
"145",20140730,0.004218735,-0.014598952,0.000350164,0.002104034,-0.010380593,0.003242298,0.005885406,0.003947333,0.004123028,-0.014475902,0.001129823
"146",20140731,-0.018698752,-0.017169327,-0.018090767,-0.016303754,-0.014350832,-0.015481863,-0.015555501,-0.022275873,-0.017824583,-0.015672234,-0.0130837
"147",20140801,0.004576391,-0.004733633,-0.000909926,-0.007726339,0.00410249,-0.00288693,-0.010678236,-0.002034791,-0.003125642,0.004915254,-0.001661817
"148",20140804,0.015691933,0.012914474,0.002260358,0.008926099,0.003159939,0.008723046,0.010428272,0.006128833,0.009158763,-0.005565949,0.005117142
"149",20140805,-0.01490447,-0.016318681,-0.005851285,-0.003276679,-0.003281752,-0.007756727,-0.011296589,-0.013471466,-0.006008177,-0.013927639,-0.009169341
"150",20140806,0.002076736,0.012789918,-0.003965936,-0.005460075,0.013689238,-0.005458924,0.00115639,0.000644861,-0.007474684,-0.009765068,0.003246379
"151",20140807,-0.004969626,-0.011271659,0.00018909,-0.003633379,-0.008615382,-0.011498906,-0.007628656,-0.004784528,0.004287184,0.012868357,-0.00290575
"152",20140808,0.026242709,0.006856934,0.010919331,0.011161881,0.007689345,0.005855836,0.005698794,0.003877071,0.006992874,0.020355216,0.006729162
"153",20140811,0.0057218,0.007532301,0.004753427,0.001744291,0.004839401,0.00137599,0.000895862,0.008235142,3.71419e-05,-0.004880995,0.008985528
"154",20140812,0.001527405,-0.000484406,-0.002262211,0.000244596,-0.001347817,-0.000882211,0.002290621,-0.001062394,0.000378317,-0.001189307,-0.001735305
