"","Date","Sec_10","Sec_15","Sec_20","Sec_25","Sec_30","Sec_35","Sec_40","Sec_45","Sec_50","Sec_55","Sec_60"
"127",20160701,10852625335920,403750998266.5,1428672574540,1836649572790,1249308243540,2305073463150,2008018576460,3159773007510,2758879235230,250914141690,378082716730
"128",20160705,10511834600290,394233863605,1416797238060,1828172742720,1250896356990,2293869010430,1958206508230,3134726525840,2739141208160,252909186790,383060391590
"129",20160706,10604937670100,397628724335,1423398611270,1841216443330,1249257498610,2308685725270,1960061239550,3139472492260,2727952628730,253980146150,381105636090
"130",20160707,10450104856620,392385545500,1424876689910,1848016912020,1246686682330,2303638622867.5,1961859529570,3152411535890,2722635087310,248979607620,376671340570
"131",20160708,10700063343670,408193824200.8,1447085578540,1872003218350,1255516908260,2319388057307.5,1995685294220,3205048663040,2757212045990,251486008970,382893027670
"132",20160711,10781915141530,412613852210.8,1452175144130,1907024634760,1257724717930,2321255946750,2015913201120,3231313710015,2769164429480,251289411560,383641737767
"133",20160712,11006105599490,424918501050,1460967770200,1912691478960,1254806885070,2329974495640,2051189471990,3250062666560,2792838805120,247798844850,383156095730
"134",20160713,10844923446430,426271009120,1467598706240,1902895404170,1259218466700,2328947823485,2046576281059.1,3250060599430,2806154531670,249395651890,385391468510
"135",20160714,11026954859520,428451216500,1477928810810,1912349923240,1256953995210,2336127411080,2077646081670,3279919032530,2821314763380,248490313330,382127964140
"136",20160715,10979856043600,425466255690.8,1478029941710,1908629368810,1255608695880,2334528759965,2079949752880,3272375893910,2817866447280,249115584210,381601802850
"137",20160718,11039051022700,424956172350.8,1477248164380,1920574639000,1255567757850,2335257092645,2093600536424.5,3300137199070,2846152804530,249987314150,381800401945
"138",20160719,10862543446340,409735708800,1479836022630,1923253797740,1247977793350,2330830500420,2082372251020,3283848819310,2832297004280,249926249940,383438695620
"139",20160720,10994317866120,407514439887.5,1482215659090,1938277443670,1247023925940,2345691126570,2106897900934,3334788353260,2852491773140,248300346650,382255319140
"140",20160721,10852999507880,412257935436.4,1468999851970,1930055706720,1242047983830,2343191361830,2096209646197.1,3317621941700,2882915924650,250028934860,382038082030
