Date,Communication,Consumer_dis,Consumer_staple,Energy,Materials,Utilities,Real_estate,IT,Industrials,Healthcare,Financials
8/17/07,53.940048,49.361835,49.994499,76.11042,60.523712,53.274086,40.292549,49.750664,57.87619,48.41116,47.388042
8/20/07,53.754265,49.523853,49.882202,76.461716,61.394176,53.287289,41.031647,49.830669,58.369682,48.543575,47.154175
8/21/07,54.146427,49.7626,49.874718,75.259552,61.676468,53.287289,41.222374,50.097336,58.280697,48.518734,47.473789
8/22/07,54.910133,50.530014,50.278992,76.11042,63.511478,54.060055,41.723061,50.67511,59.437572,48.891144,47.785603
8/23/07,55.020233,50.29126,50.181652,76.781761,63.135071,54.218563,41.007801,50.666218,58.992619,49.015266,47.520565
8/24/07,55.701355,50.964874,50.638336,78.34301,64.327034,54.542175,41.228344,51.315102,59.850174,49.420761,47.777809
8/27/07,55.618786,50.828445,50.45866,77.562401,63.770267,53.023094,40.334282,51.057316,59.534649,49.172501,47.161976
8/28/07,54.105156,49.370369,49.680065,75.782547,62.005829,52.342815,39.100468,49.919567,57.92474,48.584949,45.766605
8/29/07,55.384861,50.581169,50.353851,77.983917,63.456596,53.597717,40.530964,51.226212,59.170597,49.064919,46.538338
8/30/07,54.99958,50.470333,50.121765,77.843407,63.425198,52.785324,40.739574,51.430649,59.057346,48.982162,46.179756
8/31/07,55.426147,51.143951,50.346363,78.905045,64.413292,53.729805,41.413113,52.008427,59.833981,49.321453,47.029461
9/4/07,56.203598,51.37418,50.638336,80.630211,65.017128,54.403503,41.961487,52.817314,60.214211,49.817993,47.341263
9/5/07,55.302307,50.674973,50.084339,80.435059,64.342728,53.795837,40.954166,52.488426,59.550827,49.478683,46.460396
9/6/07,55.226604,50.785824,50.398773,81.090775,64.930862,54.377075,41.317741,52.550636,59.955341,49.859371,46.34346
9/7/07,54.098274,49.75407,49.987019,79.912033,63.558537,53.584496,40.322361,51.510651,58.78228,49.205593,45.766605
9/10/07,53.953789,49.35331,50.061886,79.451477,62.758652,53.439201,39.905121,51.403988,58.588112,49.155956,45.587315
9/11/07,54.683094,49.975773,50.518559,80.645828,63.629105,54.165752,40.733616,52.186203,59.405209,49.751774,46.249924
9/12/07,54.43541,49.899033,50.758125,81.473274,63.433067,54.330845,40.495216,51.928429,59.356678,49.909019,46.14859
9/13/07,55.020233,50.495911,50.877903,82.035332,64.201561,54.324226,41.40715,51.928429,59.809715,50.024876,46.748817
9/14/07,54.896358,50.743187,51.027637,82.277321,64.593651,54.628056,41.675362,51.82177,59.939156,49.94212,46.85796
9/17/07,54.717491,50.410629,50.803047,82.074348,64.49173,54.304424,41.371399,51.563988,59.542736,49.611103,46.522751
9/18/07,56.107265,52.005165,51.634048,84.439636,66.891327,55.314953,42.843609,52.595089,61.363007,50.438641,48.424835
9/19/07,56.692085,52.184227,51.925999,85.071953,67.887245,56.18679,43.648273,52.843979,61.888859,50.860683,48.799011
9/20/07,56.678322,51.536182,51.776272,85.345161,67.785301,55.671623,42.515797,52.906189,61.460083,50.604145,48.058453
9/21/07,57.270008,51.510609,51.873589,85.868172,68.216606,55.87635,42.819771,53.163971,61.840317,50.877228,48.120804
